Meetdatum,Stroom 1 (kWh),Stroom 2 (kWh),Teruglevering 1 (kWh),Teruglevering 2 (kWh),Gas 1 (m³),Opmerkingen
6 dec. 2021,8.034,10.437,901,1.913,8.858,Smartmeter
5 dec. 2021,8.024,10.437,901,1.913,8.850,Smartmeter
4 dec. 2021,8.019,10.437,901,1.913,8.843,Smartmeter
3 dec. 2021,8.018,10.429,901,1.913,8.833,Smartmeter
2 dec. 2021,8.017,10.421,901,1.913,8.825,Smartmeter
1 dec. 2021,8.016,10.415,901,1.913,8.819,Smartmeter
30 nov. 2021,8.015,10.408,901,1.913,8.812,Smartmeter
29 nov. 2021,8.015,10.399,901,1.913,8.804,Smartmeter
28 nov. 2021,8.007,10.399,901,1.913,8.797,Smartmeter
27 nov. 2021,7.999,10.399,901,1.913,8.790,Smartmeter
26 nov. 2021,7.998,10.394,901,1.913,8.782,Smartmeter
25 nov. 2021,7.996,10.385,901,1.913,8.777,Smartmeter
24 nov. 2021,7.996,10.380,901,1.913,8.770,Smartmeter
23 nov. 2021,7.995,10.374,901,1.912,8.767,Smartmeter
22 nov. 2021,7.994,10.369,901,1.912,8.760,Smartmeter
21 nov. 2021,7.985,10.369,901,1.912,8.754,Smartmeter
20 nov. 2021,7.980,10.369,901,1.912,8.752,Smartmeter
19 nov. 2021,7.979,10.364,901,1.912,8.749,Smartmeter
18 nov. 2021,7.978,10.356,901,1.912,8.745,Smartmeter
17 nov. 2021,7.977,10.351,901,1.912,8.740,Smartmeter
16 nov. 2021,7.977,10.344,901,1.912,8.733,Smartmeter
15 nov. 2021,7.975,10.337,901,1.912,8.726,Smartmeter
14 nov. 2021,7.967,10.337,901,1.912,8.723,Smartmeter
13 nov. 2021,7.961,10.337,901,1.912,8.719,Smartmeter
12 nov. 2021,7.959,10.331,901,1.911,8.715,Smartmeter
11 nov. 2021,7.959,10.325,901,1.911,8.710,Smartmeter
10 nov. 2021,7.957,10.320,901,1.911,8.705,Smartmeter
9 nov. 2021,7.957,10.314,901,1.910,8.700,Smartmeter
8 nov. 2021,7.956,10.306,901,1.910,8.696,Smartmeter
7 nov. 2021,7.949,10.306,900,1.910,8.692,Smartmeter
6 nov. 2021,7.942,10.306,899,1.910,8.687,Smartmeter
5 nov. 2021,7.941,10.300,899,1.909,8.682,Smartmeter
4 nov. 2021,7.940,10.293,899,1.909,8.678,Smartmeter
3 nov. 2021,7.940,10.284,899,1.909,8.672,Smartmeter
2 nov. 2021,7.939,10.277,899,1.909,8.668,Smartmeter
1 nov. 2021,7.938,10.272,899,1.908,8.665,Smartmeter
31 okt. 2021,7.934,10.272,897,1.908,8.661,Smartmeter
30 okt. 2021,7.927,10.272,897,1.908,8.660,Smartmeter
29 okt. 2021,7.926,10.266,897,1.907,8.657,Smartmeter
28 okt. 2021,7.925,10.261,897,1.905,8.654,Smartmeter
27 okt. 2021,7.924,10.255,897,1.905,8.653,Smartmeter
26 okt. 2021,7.923,10.250,897,1.903,8.649,Smartmeter
25 okt. 2021,7.922,10.246,897,1.903,8.643,Smartmeter
24 okt. 2021,7.916,10.246,895,1.903,8.639,Smartmeter
23 okt. 2021,7.911,10.246,894,1.903,8.636,Smartmeter
22 okt. 2021,7.910,10.242,894,1.902,8.627,Smartmeter
21 okt. 2021,7.908,10.237,894,1.902,8.624,Smartmeter
20 okt. 2021,7.907,10.230,894,1.902,8.623,Smartmeter
19 okt. 2021,7.906,10.223,894,1.902,8.620,Smartmeter
18 okt. 2021,7.906,10.220,894,1.900,8.616,Smartmeter
17 okt. 2021,7.900,10.220,894,1.900,8.611,Smartmeter
16 okt. 2021,7.890,10.220,894,1.900,8.608,Smartmeter
15 okt. 2021,7.889,10.215,894,1.899,8.607,Smartmeter
14 okt. 2021,7.888,10.211,894,1.898,8.604,Smartmeter
13 okt. 2021,7.888,10.205,894,1.896,8.601,Smartmeter
12 okt. 2021,7.887,10.201,894,1.894,8.599,Smartmeter
11 okt. 2021,7.886,10.196,894,1.892,8.598,Smartmeter
10 okt. 2021,7.882,10.196,891,1.892,8.596,Smartmeter
9 okt. 2021,7.876,10.196,891,1.892,8.595,Smartmeter
8 okt. 2021,7.876,10.191,891,1.889,8.592,Smartmeter
7 okt. 2021,7.874,10.187,891,1.889,8.589,Smartmeter
6 okt. 2021,7.874,10.182,891,1.887,8.587,Smartmeter
5 okt. 2021,7.873,10.177,891,1.884,8.585,Smartmeter
4 okt. 2021,7.872,10.172,891,1.880,8.583,Smartmeter
3 okt. 2021,7.861,10.172,891,1.880,8.581,Smartmeter
2 okt. 2021,7.857,10.172,888,1.880,8.579,Smartmeter
1 okt. 2021,7.856,10.167,888,1.878,8.576,Smartmeter
30 sep. 2021,,,,,8.573,Smartmeter
29 sep. 2021,7.853,10.150,888,1.874,8.572,Smartmeter
28 sep. 2021,7.852,10.146,888,1.870,8.571,Smartmeter
27 sep. 2021,7.851,10.142,888,1.868,8.570,Smartmeter
26 sep. 2021,7.846,10.142,884,1.868,8.570,Smartmeter
25 sep. 2021,7.841,10.142,882,1.868,8.569,Smartmeter
24 sep. 2021,7.839,10.135,882,1.867,8.567,Smartmeter
23 sep. 2021,7.838,10.130,882,1.866,8.566,Smartmeter
22 sep. 2021,7.837,10.126,882,1.863,8.565,Smartmeter
21 sep. 2021,,,,,8.564,Smartmeter
20 sep. 2021,7.834,10.119,882,1.858,8.564,Smartmeter
19 sep. 2021,7.827,10.119,878,1.858,8.563,Smartmeter
18 sep. 2021,7.820,10.119,874,1.858,8.562,Smartmeter
17 sep. 2021,7.819,10.116,874,1.855,8.561,Smartmeter
16 sep. 2021,7.818,10.110,874,1.854,8.560,Smartmeter
15 sep. 2021,7.817,10.106,874,1.852,8.559,Smartmeter
14 sep. 2021,7.816,10.102,874,1.846,8.559,Smartmeter
13 sep. 2021,7.815,10.100,874,1.842,8.558,Smartmeter
12 sep. 2021,7.812,10.100,869,1.842,8.557,Smartmeter
11 sep. 2021,7.808,10.100,868,1.842,8.557,Smartmeter
10 sep. 2021,7.807,10.093,868,1.841,8.556,Smartmeter
9 sep. 2021,7.806,10.088,868,1.834,8.555,Smartmeter
8 sep. 2021,7.806,10.085,868,1.826,8.555,Smartmeter
7 sep. 2021,7.805,10.081,868,1.819,8.554,Smartmeter
6 sep. 2021,7.804,10.078,868,1.812,8.553,Smartmeter
5 sep. 2021,7.800,10.078,861,1.812,8.553,Smartmeter
4 sep. 2021,7.795,10.078,858,1.812,8.552,Smartmeter
3 sep. 2021,7.794,10.076,858,1.809,8.551,Smartmeter
2 sep. 2021,7.794,10.072,858,1.807,8.551,Smartmeter
1 sep. 2021,7.793,10.065,858,1.806,8.550,Smartmeter
31 aug. 2021,7.792,10.062,858,1.802,8.549,Smartmeter
30 aug. 2021,7.791,10.058,858,1.798,8.549,Smartmeter
29 aug. 2021,7.786,10.058,857,1.798,8.548,Smartmeter
28 aug. 2021,7.781,10.058,851,1.798,8.548,Smartmeter
27 aug. 2021,7.781,10.054,851,1.792,8.547,Smartmeter
26 aug. 2021,7.780,10.052,851,1.786,8.547,Smartmeter
25 aug. 2021,7.779,10.050,851,1.778,8.546,Smartmeter
24 aug. 2021,7.778,10.047,851,1.769,8.546,Smartmeter
23 aug. 2021,7.777,10.043,851,1.759,8.545,Smartmeter
22 aug. 2021,7.772,10.043,850,1.759,8.544,Smartmeter
21 aug. 2021,7.768,10.043,843,1.759,8.544,Smartmeter
20 aug. 2021,7.767,10.040,843,1.755,8.543,Smartmeter
19 aug. 2021,7.766,10.033,843,1.754,8.542,Smartmeter
18 aug. 2021,7.766,10.029,843,1.752,8.541,Smartmeter
17 aug. 2021,7.765,10.026,843,1.749,8.541,Smartmeter
16 aug. 2021,7.764,10.023,843,1.746,8.540,Smartmeter
15 aug. 2021,7.760,10.023,833,1.746,8.539,Smartmeter
14 aug. 2021,7.757,10.023,826,1.746,8.539,Smartmeter
13 aug. 2021,7.756,10.020,826,1.740,8.538,Smartmeter
12 aug. 2021,7.755,10.019,826,1.729,8.538,Smartmeter
11 aug. 2021,7.754,10.016,826,1.720,8.537,Smartmeter
10 aug. 2021,7.753,10.013,826,1.715,8.537,Smartmeter
9 aug. 2021,7.752,10.008,826,1.711,8.536,Smartmeter
8 aug. 2021,7.748,10.008,819,1.711,8.535,Smartmeter
7 aug. 2021,7.747,10.008,806,1.711,8.535,Smartmeter
6 aug. 2021,7.746,10.007,806,1.704,8.535,Smartmeter
5 aug. 2021,7.746,10.007,806,1.690,8.535,Smartmeter
4 aug. 2021,7.745,10.007,806,1.681,8.534,Smartmeter
3 aug. 2021,7.745,10.007,806,1.669,8.534,Smartmeter
2 aug. 2021,7.744,10.006,806,1.657,8.534,Smartmeter
1 aug. 2021,7.743,10.006,798,1.657,8.533,Smartmeter
31 jul. 2021,7.736,10.006,794,1.657,8.533,Smartmeter
30 jul. 2021,7.734,10.004,794,1.646,8.532,Smartmeter
29 jul. 2021,7.734,10.003,794,1.636,8.532,Smartmeter
28 jul. 2021,7.733,9.999,794,1.630,8.530,Smartmeter
27 jul. 2021,7.732,9.997,794,1.620,8.530,Smartmeter
26 jul. 2021,7.731,9.995,793,1.607,8.529,Smartmeter
25 jul. 2021,7.727,9.995,788,1.607,8.528,Smartmeter
24 jul. 2021,7.723,9.995,773,1.607,8.528,Smartmeter
23 jul. 2021,7.722,9.992,773,1.604,8.527,Smartmeter
22 jul. 2021,7.721,9.991,773,1.594,8.527,Smartmeter
21 jul. 2021,7.721,9.990,773,1.583,8.526,Smartmeter
20 jul. 2021,7.720,9.990,773,1.570,8.526,Smartmeter
19 jul. 2021,7.719,9.989,773,1.561,8.526,Smartmeter
18 jul. 2021,7.715,9.989,761,1.561,8.525,Smartmeter
17 jul. 2021,7.712,9.989,745,1.561,8.525,Smartmeter
16 jul. 2021,7.711,9.986,745,1.558,8.524,Smartmeter
15 jul. 2021,7.710,9.982,745,1.557,8.524,Smartmeter
14 jul. 2021,7.709,9.979,745,1.553,8.523,Smartmeter
13 jul. 2021,7.709,9.975,745,1.550,8.522,Smartmeter
12 jul. 2021,7.708,9.972,745,1.545,8.522,Smartmeter
11 jul. 2021,7.704,9.972,735,1.545,8.521,Smartmeter
10 jul. 2021,7.702,9.972,723,1.545,8.521,Smartmeter
9 jul. 2021,7.701,9.970,723,1.534,8.520,Smartmeter
8 jul. 2021,7.700,9.969,722,1.521,8.520,Smartmeter
7 jul. 2021,7.699,9.966,722,1.509,8.519,Smartmeter
6 jul. 2021,7.698,9.964,722,1.503,8.518,Smartmeter
5 jul. 2021,7.698,9.961,722,1.497,8.518,Smartmeter
4 jul. 2021,7.695,9.961,714,1.497,8.517,Smartmeter
3 jul. 2021,7.692,9.961,697,1.497,8.517,Smartmeter
2 jul. 2021,7.692,9.959,697,1.491,8.516,Smartmeter
1 jul. 2021,7.691,9.954,697,1.488,8.515,Smartmeter
30 jun. 2021,7.690,9.945,697,1.487,8.514,Smartmeter
29 jun. 2021,7.690,9.941,697,1.486,8.514,Smartmeter
28 jun. 2021,7.689,9.938,697,1.474,8.513,Smartmeter
27 jun. 2021,7.686,9.938,682,1.474,8.513,Smartmeter
